,Unnamed: 0,PubMedID,Title,Abstract,Label
6586,6586,29898646,Pure bone marrow aspirate injection for chronic greater trochanteric pain syndrome: a case report,"There are limited treatment options for patients with a chronic refractory greater trochanteric pain syndrome. Orthobiologic interventions may stimulate tendon healing and improve pain and function in patients who fail the standard conservative treatment. Since the US FDA's new position statement regarding the centrifugation of bone marrow aspirate products as a potentially 'more than minimally manipulated' product, there is a growing concern about the most common bone marrow aspirate concentrate technique. In this case, a 57 year old female with a debilitating chronic greater trochanteric pain syndrome was treated with a pure autologous bone marrow aspirate injection using a novel aspiration technique. The patient showed significant improvements in pain and function without recurrence at 1-year follow-up. This is the first case report to illustrate this novel technique for aspirating pure bone marrow that should comply with the new FDA regulations. ",0
4926,4926,24325418,Quality of reporting clinical trials published in five leading Sri Lankan medical journals,"To assess the quality of reporting of clinical trials published in five leading Sri Lankan medical journals. Six medical journals were hand searched for clinical trials published from 1982 to 2011. Eligible criteria were all randomized and non-randomized clinical trials conducted in humans. A checklist was developed based on CONSORT and TREND recommendations. Each study was independently evaluated by two reviewers. Outcome measures were presence of checklist items in published reports. Fifteen randomized and 24 non-randomized parallel group trials from 724 studies in five journals met the inclusion criteria. Out of 39 trials, 39 (97%) clearly described the objectives, 16 (41%) defined the periods of recruitment, 7 (18%) reported how sample size was determined, 10 (25.6%) reported the methods to enhance the quality of measurements, 20 (51%) reported baseline demographic and clinical characteristics of each group, 4 (10%) showed flow diagrams, 23 (69%) reported statistical methods used to compare groups for primary outcomes, 21 (54%) reported effect size, 4 (10%) reported its precision, and 20 (51%) interpreted the results in the context of current evidence, and 5 (13%) described the generalizability of the findings. Of the 15 randomized trials, only one (7%) reported sequence generation, 5 (33%) allocation concealment, 9 (60%) reported blinding status of participants or investigators, and 2 (13%) reported intention to treat analysis. Reporting of several essential recommendations remained suboptimal. Education and training of trial methods and awareness of the CONSORT and TREND statements and more attention to the quality of reporting may improve matters. ",0
12516,12516,21913872,Genetic association studies in drug-induced liver injury,"A large number of case-control association studies on genetic susceptibility to drug-induced liver injury, involving both candidate gene and genome-wide association approaches, have now been reported. The strongest associations have been observed for human leukocyte antigen (HLA) class I and II genes and N-acetyltransferase 2 (NAT2). The associations with HLA class I and II genes are drug specific, though some apparently unrelated compounds show genetic associations with the same alleles. The underlying mechanism for the HLA association is likely to involve T-cell responses to either drug-protein adducts or to drug alone, but needs further investigation. The NAT2 association relates to liver injury induced by isoniazid, with most published studies finding an increased risk of injury in slow acetylators lacking NAT2 enzyme activity, presumably because of the accumulation of toxic metabolites. Other associations with genes relevant to drug disposition, innate immunity, oxidative stress, and mitochondrial function have also been reported, though these still need to be confirmed by replication in independent cohorts.",1
4108,4108,20512985,Multiple effects of silymarin on the hepatitis C virus lifecycle,"Silymarin, an extract from milk thistle (Silybum marianum), and its purified flavonolignans have been recently shown to inhibit hepatitis C virus (HCV) infection, both in vitro and in vivo. In the current study, we further characterized silymarin's antiviral actions. Silymarin had antiviral effects against hepatitis C virus cell culture (HCVcc) infection that included inhibition of virus entry, RNA and protein expression, and infectious virus production. Silymarin did not block HCVcc binding to cells but inhibited the entry of several viral pseudoparticles (pp), and fusion of HCVpp with liposomes. Silymarin but not silibinin inhibited genotype 2a NS5B RNA-dependent RNA polymerase (RdRp) activity at concentrations 5 to 10 times higher than required for anti-HCVcc effects. Furthermore, silymarin had inefficient activity on the genotype 1b BK and four 1b RDRPs derived from HCV-infected patients. Moreover, silymarin did not inhibit HCV replication in five independent genotype 1a, 1b, and 2a replicon cell lines that did not produce infectious virus. Silymarin inhibited microsomal triglyceride transfer protein activity, apolipoprotein B secretion, and infectious virion production into culture supernatants. Silymarin also blocked cell-to-cell spread of virus. CONCLUSION: Although inhibition of in vitro NS5B polymerase activity is demonstrable, the mechanisms of silymarin's antiviral action appear to include blocking of virus entry and transmission, possibly by targeting the host cell.",0
6805,6805,30970186,Randomized Trial of Verubecestat for Prodromal Alzheimer's Disease,"BACKGROUND: Prodromal Alzheimer's disease offers an opportunity to test the effect of drugs that modify the deposition of amyloid in the brain before the onset of dementia. Verubecestat is an orally administered ?-site amyloid precursor protein-cleaving enzyme 1 (BACE-1) inhibitor that blocks production of amyloid-beta (A?). The drug did not prevent clinical progression in a trial involving patients with mild-to-moderate dementia due to Alzheimer's disease. METHODS: We conducted a randomized, double-blind, placebo-controlled, 104-week trial to evaluate verubecestat at doses of 12 mg and 40 mg per day, as compared with placebo, in patients who had memory impairment and elevated brain amyloid levels but whose condition did not meet the case definition of dementia. The primary outcome was the change from baseline to week 104 in the score on the Clinical Dementia Rating Scale-Sum of Boxes (CDR-SB; scores range from 0 to 18, with higher scores indicating worse cognition and daily function). Secondary outcomes included other assessments of cognition and daily function. RESULTS: The trial was terminated for futility after 1454 patients had been enrolled; 485 had been assigned to receive verubecestat at a dose of 12 mg per day (the 12-mg group), 484 to receive verubecestat at a dose of 40 mg per day (the 40-mg group), and 485 to receive placebo. A total of 234 patients, 231 patients, and 239 patients per group, respectively, completed 104 weeks of the trial regimen. The estimated mean change from baseline to week 104 in the CDR-SB score was 1.65 in the 12-mg group, 2.02 in the 40-mg group, and 1.58 in the placebo group (P?=?0.67 for the comparison between the 12-mg group and the placebo group and P?=?0.01 for the comparison between the 40-mg group and the placebo group), suggesting a worse outcome in the higher-dose group than in the placebo group. The estimated rate of progression to dementia due to Alzheimer's disease was 24.5, 25.5, and 19.3 events per 100 patient-years in the 12-mg group, the 40-mg group, and the placebo group, respectively (hazard ratio for 40 mg vs. placebo, 1.38; 97.51% confidence interval, 1.07 to 1.79, not adjusted for multiple comparisons), favoring placebo. Adverse events were more common in the verubecestat groups than in the placebo group. CONCLUSIONS: Verubecestat did not improve clinical ratings of dementia among patients with prodromal Alzheimer's disease, and some measures suggested that cognition and daily function were worse among patients who received verubecestat than among those who received placebo. (Funded by Merck Sharp & Dohme; ClinicalTrials.gov number, NCT01953601.).",0
11099,11099,16887497,Effects of chenodeoxycholic acid and deoxycholic acid on cholesterol absorption and metabolism in humans,"Quantitative and qualitative differences in intralumenal bile acids may affect cholesterol absorption and metabolism. To test this hypothesis, 2 cross-over outpatient studies were conducted in adults with apo-A IV 1/1 or apo-E 3/3 genotypes. Study 1 included 11 subjects 24 to 37 years of age, taking 15 mg/kg/day chenodeoxycholic acid (CDCA) or no bile acid for 20 days while being fed a controlled diet. Study 2 included 9 adults 25 to 38 years of age, taking 15 mg/kg/day deoxycholic acid (DCA) or no bile acid, following the same experimental design and procedures as study 1. CDCA had no effect on plasma lipid concentrations, whereas DCA decreased (P < 0.05) plasma high-density lipoprotein (HDL)-cholesterol and tended to decrease (P = 0.15) low-density lipoprotein (LDL)-cholesterol. CDCA treatment enriched (P < 0.0001) bile with CDCA and increased cholesterol concentration in micelles, whereas meal-stimulated bile acid concentrations were decreased. DCA treatment enriched (P < 0.0001) bile with DCA and tended to increase intralumenal cholesterol solubilized in micelles (P = 0.06). No changes were found in cholesterol absorption, free cholesterol fractional synthetic rate (FSR), or 3-hydroxy-3 methylglutaryl (HMG) CoA reductase and LDL receptor messenger ribonucleic acid (mRNA) levels after CDCA treatment. DCA supplementation tended to decrease cholesterol absorption and reciprocally increase FSR and HMG CoA reductase and LDL receptor mRNA levels. Results of these 2 studies suggest that the solubilization of cholesterol in the intestinal micelles is not a rate-limiting step for its absorption.",1
6099,6099,28528569,Time to Treatment and Mortality during Mandated Emergency Care for Sepsis,"BACKGROUND: In 2013, New York began requiring hospitals to follow protocols for the early identification and treatment of sepsis. However, there is controversy about whether more rapid treatment of sepsis improves outcomes in patients. METHODS: We studied data from patients with sepsis and septic shock that were reported to the New York State Department of Health from April 1, 2014, to June 30, 2016. Patients had a sepsis protocol initiated within 6 hours after arrival in the emergency department and had all items in a 3-hour bundle of care for patients with sepsis (i.e., blood cultures, broad-spectrum antibiotic agents, and lactate measurement) completed within 12 hours. Multilevel models were used to assess the associations between the time until completion of the 3-hour bundle and risk-adjusted mortality. We also examined the times to the administration of antibiotics and to the completion of an initial bolus of intravenous fluid. RESULTS: Among 49,331 patients at 149 hospitals, 40,696 (82.5%) had the 3-hour bundle completed within 3 hours. The median time to completion of the 3-hour bundle was 1.30 hours (interquartile range, 0.65 to 2.35), the median time to the administration of antibiotics was 0.95 hours (interquartile range, 0.35 to 1.95), and the median time to completion of the fluid bolus was 2.56 hours (interquartile range, 1.33 to 4.20). Among patients who had the 3-hour bundle completed within 12 hours, a longer time to the completion of the bundle was associated with higher risk-adjusted in-hospital mortality (odds ratio, 1.04 per hour; 95% confidence interval [CI], 1.02 to 1.05; P<0.001), as was a longer time to the administration of antibiotics (odds ratio, 1.04 per hour; 95% CI, 1.03 to 1.06; P<0.001) but not a longer time to the completion of a bolus of intravenous fluids (odds ratio, 1.01 per hour; 95% CI, 0.99 to 1.02; P=0.21). CONCLUSIONS: More rapid completion of a 3-hour bundle of sepsis care and rapid administration of antibiotics, but not rapid completion of an initial bolus of intravenous fluids, were associated with lower risk-adjusted in-hospital mortality. (Funded by the National Institutes of Health and others.).",0
2583,2583,12594313,Addition of ifosfamide and etoposide to standard chemotherapy for Ewing's sarcoma and primitive neuroectodermal tumor of bone,"BACKGROUND: Ewing's sarcoma and primitive neuroectodermal tumor of bone are closely related, highly malignant tumors of children, adolescents, and young adults. A new drug combination, ifosfamide and etoposide, was highly effective in patients with Ewing's sarcoma or primitive neuroectodermal tumor of bone who had a relapse after standard therapy. We designed a study to test whether the addition of these drugs to a standard regimen would improve the survival of patients with newly diagnosed disease. METHODS: Patients 30 years old or younger with Ewing's sarcoma, primitive neuroectodermal tumor of bone, or primitive sarcoma of bone were eligible. The patients were randomly assigned to receive 49 weeks of standard chemotherapy with doxorubicin, vincristine, cyclophosphamide, and dactinomycin or experimental therapy with these four drugs alternating with courses of ifosfamide and etoposide. RESULTS: A total of 518 patients met the eligibility requirements. Of 120 patients with metastatic disease, 62 were randomly assigned to the standard-therapy group and 58 to the experimental-therapy group. There was no significant difference in five-year event-free survival between the treatment groups (P=0.81). Among the 398 patients with nonmetastatic disease, the mean (+/-SE) five-year event-free survival among the 198 patients in the experimental-therapy group was 69+/-3 percent, as compared with 54+/-4 percent among the 200 patients in the standard-therapy group (P=0.005). Overall survival was also significantly better among patients in the experimental-therapy group (72+/-3.4 percent vs. 61+/-3.6 percent in the standard-therapy group, P=0.01). CONCLUSIONS: The addition of ifosfamide and etoposide to a standard regimen does not affect the outcome for patients with metastatic disease, but it significantly improves the outcome for patients with nonmetastatic Ewing's sarcoma, primitive neuroectodermal tumor of bone, or primitive sarcoma of bone.",0
7552,7552,1974701,Brain tissue elasticity and CSF elastance,"In the analysis of the pressure-volume relationship of the intracranial system, the concept of brain elastance, sometimes called tissue elastance or CSF elastance, is often used. It is generally designated as Ecsf and is calculated as the slope of the pressure-volume curve of the system. Variations in Ecsf are related to, for example, changes in the buffering capacity of the system which, however, could be influenced by the cerebral vascular volume, compressibility of the meningeal membranes, and compressibility of the subpial brain tissue. Our interest is in isolating the effect of controlled changes in the intracranial system with changes in the subpial tissue only. Here we discuss the measurement of brain tissue elasticity and describe two experimental conditions in which simultaneous measurements showed distinct differences between the behaviour of the system CSF elastance and brain tissue elastic behaviour.",1
10725,10725,15511691,"Zonisamide: chemistry, mechanism of action, and pharmacokinetics","Zonisamide is a synthetic 1,2-benzisoxazole-3-methanesulfonamide with anticonvulsant properties. The sulfamoyl group on zonisamide was expected to suppress seizures in a manner similar to another sulfonamide analogue, acetazolamide, through inhibition of carbonic anhydrase. However, this does not appear to be the primary mechanism of action since zonisamide requires much higher doses than acetazolamide to achieve equivalent titration in vivo. Studies with cultured neurons indicate that zonisamide blocks repetitive firing of voltage-sensitive sodium channels and reduces voltage-sensitive T-type calcium currents without affecting L-type calcium currents. Its dual mechanism of action may explain its efficacy in patients resistant to other antiepileptic drugs (AEDs). Zonisamide has a pharmacokinetic profile favorable for clinical use. It is rapidly and completely absorbed and has a long half-life (63-69h in healthy volunteers) which allows twice-daily, or even once-daily, dosing. Zonisamide is not highly bound to plasma proteins. Consequently, it does not affect protein binding of other highly protein-bound AEDs. Furthermore, zonisamide does not induce its own metabolism and does not induce liver enzymes. However, since zonisamide is metabolized by cytochrome P450, liver enzyme-inducing AEDs will increase zonisamide clearance, and dosage adjustments may be necessary when it is used in combination with certain AEDs.",1
